spanish,english
Ve.,Go.
Vete.,Go.
Vaya.,Go.
Váyase.,Go.
Hola.,Hi.
¡Corre!,Run!
Corred.,Run.
¿Quién?,Who?
¡Fuego!,Fire!
¡Incendio!,Fire!
¡Disparad!,Fire!
¡Ayuda!,Help!
¡Socorro! ¡Auxilio!,Help!
¡Auxilio!,Help!
¡Salta!,Jump!
Salte.,Jump.
¡Parad!,Stop!
¡Para!,Stop!
¡Pare!,Stop!
¡Espera!,Wait!
Esperen.,Wait.
Continúa.,Go on.
Continúe.,Go on.
Hola.,Hello!
Corrí.,I ran.
Corría.,I ran.
Lo intento.,I try.
¡He ganado!,I won!
"¡Oh, no!",Oh no!
Tomátelo con soda.,Relax.
Sonríe.,Smile.
¡Al ataque!,Attack!
¡Atacad!,Attack!
Levanta.,Get up.
Ve ahora mismo.,Go now.
¡Lo tengo!,Got it!
¿Lo pillas?,Got it?
¿Entendiste?,Got it?
Él corrió.,He ran.
Métete adentro.,Hop in.
Abrázame.,Hug me.
Me caí.,I fell.
Yo lo sé.,I know.
Salí.,I left.
Mentí.,I lied.
Perdí.,I lost.
Dimito.,I quit.
Renuncié.,I quit.
Estoy trabajando.,I work.
Tengo diecinueve.,I'm 19.
Estoy levantado.,I'm up.
Escucha.,Listen.
Escuche.,Listen.
Escuchen.,Listen.
¡No puede ser!,No way!
De ninguna manera.,No way!
¡De ninguna manera!,No way!
¡Imposible!,No way!
¡De ningún modo!,No way!
¡De eso nada!,No way!
¡Ni cagando!,No way!
¡Mangos!,No way!
¡Minga!,No way!
¡Ni en pedo!,No way!
¿En serio?,Really?
¿La verdad?,Really?
¡Gracias!,Thanks.
Gracias.,Thanks.
Pruébalo.,Try it.
Lo procuramos.,We try.
Ganamos.,We won.
¿Por qué yo?,Why me?
Pregúntale a Tom.,Ask Tom.
¡Órale!,Awesome!
Mantente en calma.,Be calm.
Estate tranquilo.,Be cool.
Sé justo.,Be fair.
Sean gentiles.,Be kind.
Sé agradable.,Be nice.
Pírate.,Beat it.
Llamame.,Call me.
Llamadme.,Call me.
Llámame.,Call me.
Llámanos.,Call us.
Entre.,Come in.
Pase.,Come in.
¡Entren!,Come in.
¡Órale!,Come on!
Ándale.,Come on.
¡Órale!,Come on.
Suéltalo.,Drop it!
Agarra a Tom.,Get Tom.
Bájate.,Get out!
Salte.,Get out.
Sal.,Get out.
Salí.,Get out.
Salid.,Get out.
Salgan.,Get out.
¡Vete de aquí!,Go away!
¡Lárgate!,Go away!
¡Salga de aquí!,Go away!
¡Largo!,Go away!
¡Vete ya!,Go away!
¡Órale!,Go away!
¡A la calle!,Go away!
¡Vete de aquí!,Go away.
¡Lárgate!,Go away.
¡Largo!,Go away.
¡Vete ya!,Go away.
¡Órale!,Go away.
Lárguese.,Go away.
Váyase.,Go away.
Vete a casa.,Go home.
Vaya despacio.,Go slow.
¡Hasta luego!,Goodbye!
Hasta la vista.,Goodbye!
¡Chau!,Goodbye!
¡Espera!,Hang on!
¡Espera un momento!,Hang on!
¡Un segundo!,Hang on!
Agarra fuertemente.,Hang on.
Él vino.,He came.
Él renunció.,He quit.
Ayúdame.,Help me!
Ayúdame.,Help me.
Échame una mano.,Help me.
Ayudame.,Help me.
Ayúdanos.,Help us.
Golpea a Tom.,Hit Tom.
Espera.,Hold it!
Resista.,Hold on.
Resiste.,Hold on.
Agarra fuertemente.,Hold on.
Abraza a Tom.,Hug Tom.
Estoy de acuerdo.,I agree.
De acuerdo.,I agree.
Me incliné.,I bowed.
Me he mudado.,I moved.
Me mudé.,I moved.
Me trasladé.,I moved.
Me he trasladado.,I moved.
Dormí.,I slept.
Lo intenté.,I tried.
Iré.,I'll go.
Soy Tom.,I'm Tom.
Estoy gordo.,I'm fat.
Soy gorda.,I'm fat.
Estoy en forma.,I'm fit.
Estoy afectado.,I'm hit!
Soy viejo.,I'm old.
Soy tímido.,I'm shy.
Estoy mojada.,I'm wet.
Está bien.,It's OK.
Soy yo.,It's me!
Soy yo.,It's me.
Únete a nosotros.,Join us.
Sé parte nuestra.,Join us.
Guárdalo.,Keep it.
"Yo, también.","Me, too."
Abre.,Open up.
¡Perfecto!,Perfect!
Nos vemos.,See you.
Muéstramelo.,Show me.
Enséñamelo.,Show me.
Mostrame.,Show me.
¡Cierra la boca!,Shut up!
¡Cerrá el pico!,Shut up!
Sáltatelo.,Skip it.
Hasta la vista.,So long.
Hasta luego.,So long.
Páralo.,Stop it.
Deténlo.,Stop it.
Cógelo.,Take it.
Decime.,Tell me.
Tom comió.,Tom ate.
Tom corrió.,Tom ran.
Tom ganó.,Tom won.
Espérame despierto.,Wait up.
¡Despierta!,Wake up!
¡Despiértate!,Wake up!
¡Despertate!,Wake up!
Despierta.,Wake up.
Lávate las manos.,Wash up.
Nos preocupamos.,We care.
Lo sabemos.,We know.
Perdimos.,We lost.
Bienvenidos.,Welcome.
Bienvenidas.,Welcome.
¿Quién comió?,Who ate?
¿Quién corría?,Who ran?
¿Quién corrió?,Who ran?
¿Quién ganó?,Who won?
¿Quién ha ganado?,Who won?
¿Por qué no?,Why not?
Corre.,You run.
Has ganado.,You won.
¿Estoy gordo?,Am I fat?
Preguntales.,Ask them.
Pregúntales.,Ask them.
Aparta.,Back off!
Apártate.,Back off.
Sé un hombre.,Be a man.
Sé fuerte.,Be brave.
Sé breve.,Be brief.
Sea breve.,Be brief.
Sean breves.,Be brief.
Estate quieto.,Be quiet.
No te muevas.,Be still.
¡Llamalo a Tomás!,Call Tom.
¡Llámalo a Tomás!,Call Tom.
¡Llámenlo a Tomás!,Call Tom.
Anímate.,Cheer up!
Venga.,Cheer up.
¡Cálmate!,Cool off!
Espósale.,Cuff him.
No te vayas.,Don't go.
Continúa.,Drive on.
Encontralo a Tomás.,Find Tom.
Encuéntralo a Tomás.,Find Tom.
Encuéntrelo a Tomás.,Find Tom.
Encuéntrenlo a Tomás.,Find Tom.
Encuentre a Tom.,Find Tom.
Encuentren a Tom.,Find Tom.
Arregla esto.,Fix this.
¡Vete de aquí!,Get away!
¡Lárgate!,Get away!
¡Largo!,Get away!
¡Vete ya!,Get away!
Ponte a ello.,Get down!
Abajo.,Get down.
Túmbate.,Get down.
¡Piérdete!,Get lost!
¡Vete de aquí!,Get lost!
¡Lárgate!,Get lost!
¡Largo!,Get lost!
¡Vete ya!,Get lost!
Esfúmate.,Get lost.
¡Despierta!,Get real!
¡Piénsalo bien!,Get real!
Abre los ojos.,Get real.
Adelante.,Go ahead!
Adelante.,Go ahead.
Entre.,Go on in.
Entra.,Go on in.
Entren.,Go on in.
Entrá.,Go on in.
Entrad.,Go on in.
¡Buen trabajo!,Good job!
Sujeta a Tom.,Grab Tom.
Agárralo.,Grab him.
Diviértanse.,Have fun.
Pásala bien.,Have fun.
Pásenla bien.,Have fun.
Él habló.,He spoke.
Él lo intenta.,He tries.
Él prueba.,He tries.
Ayuda a Tom.,Help Tom.
Ayúdalo.,Help him.
"Hola, ¿qué hay?","Hi, guys."
"Ey, chavales.","Hi, guys."
"¿Qué pasa, troncos?","Hi, guys."
Buenas.,"Hi, guys."
¿Qué tal os va?,"Hi, guys."
Hola por aquí.,"Hi, guys."
¡Qué encanto!,How cute!
¿Qué tan profundo?,How deep?
¿Cómo de profundo?,How deep?
Hazme el favor.,Humor me.
Compláceme.,Humor me.
¡Date prisa!,Hurry up.
Apresúrate.,Hurry up.
Convine.,I agreed.
Acepté.,I agreed.
Accedí.,I agreed.
Soy gorda.,I am fat.
Estoy viejo.,I am old.
Me lo comí.,I ate it.
Me la comí.,I ate it.
Puedo ir.,I can go.
Lo hice bien.,I did OK.
Lo hice.,I did it.
Fracasé.,I failed.
Lo olvidé.,I forgot.
Me las arreglo.,I get by.
Lo entiendo.,I get it.
Lo tengo.,I got it.
Llamé por teléfono.,I phoned.
Me niego.,I refuse.
Dimito.,I resign.
Renuncio.,I resign.
Lo vi.,I saw it.
Sonreí.,I smiled.
Me quedé.,I stayed.
Hablé.,I talked.
Hablaba.,I talked.
Charlé.,I talked.
Charlaba.,I talked.
Yo lo uso.,I use it.
Esperé.,I waited.
Yo pagaré.,I'll pay.
He vuelto.,I'm back.
Estoy de vuelta.,I'm back.
Soy calvo.,I'm bald.
Estoy calvo.,I'm bald.
Estoy calmado.,I'm calm.
Estoy tranquilo.,I'm cool.
He terminado.,I'm done.
Soy bastante facilón.,I'm easy.
Soy justo.,I'm fair.
Estoy perfectamente.,I'm fine.
¡Soy libre!,I'm free!
Yo soy libre.,I'm free.
Estoy lleno.,I'm full.
Estoy llena.,I'm full.
Ya me llené.,I'm full.
Estoy aquí.,I'm here.
Estoy en casa.,I'm home.
